id,title,image_url,author,description,genre_id,created_at,updated_at
21,ワンパンマン,https://img.papy.co.jp/sc/item/cover/9-577863-c400.jpg?renta,ONE,一撃必殺!　強くなりすぎて、どんな凶悪な怪人もワンパンチで倒してしまうヒーロー“サイタマ”。平熱系最強ヒーローの伝説開幕!!　WEB界のカリスマと超絶絵師タッグが贈る、日常ノックアウトコミック!!,22,20190731,20190731
22,終末のワルキューレ,https://img.papy.co.jp/sc/item/cover/9-537687-c400.jpg?renta,アジチカ,全世界の神VS偉人、武人、傑人！！！！地上で横暴を極める人類に対し、神々は人類の滅亡を決定する。その決定を覆すべく選ばれたのは人類史上最強、13人の戦士たち。神々とのタイマン13番勝負に勝ち、人類を存続させることは出来るのか！？第一回戦は北欧神話最強「トール神」VS三国志最強「呂布奉先」！人類存亡を賭けた戦いが、今始まる！！,23,20190731,20190731
23,おおきく振りかぶって,https://img.papy.co.jp/sc/item/cover/9-285533-c400.jpg?renta,ひぐちアサ,県外の高校に進学した卑屈で弱気なピッチャー・三橋廉（みはし・れん）。見学するだけと訪れたものの強引に入部させられたのは、全員1年生（くせ者揃い）に女監督（コワイ）という創設まもない野球部だった！ オレらのエースは暗くて卑屈。勝つために、弱気なエースのために。行け、オレら！ 読むとためになり、しかも血沸き肉躍り涙する。絶対に面白い本格高校野球漫画！,24,20190731,20190731
24,マージナル・オペレーション,https://img.papy.co.jp/sc/item/cover/9-295311-c400.jpg?renta,芝村裕吏,ラノベやゲームを愛好するニート・新田良太（あらた・りょうた）。7年続けたニートの立場に耐えかね一念発起、ネットで見つけた外資系軍事企業PMSCsの好条件に魅力を感じ出来心で応募するが……。30歳ニート、異国で知る世界の現実に震える！ 『ガンパレード・マーチ』の芝村裕吏が描く人気小説に、気鋭のイラストレーター・キムラダイスケが挑む！ これまでのミリタリーアクションとは一線を画す、このうえなくリアルな戦場成長シリーズが開幕！,25,20190731,20190731
25,甘々と稲妻,https://img.papy.co.jp/sc/item/cover/9-287236-c400.jpg?renta,雨隠ギド,妻を亡くし、ひとりで娘の子育てに奮戦する数学教師・犬塚。料理が苦手で小食で味オンチな彼は、ひょんなことから教え子・飯田小鳥と、一緒にごはんを作って娘と3人で食べることに！！ 月刊「good！アフタヌーン」誌上で連載開始当初から話題沸騰！ 愛娘＆女子高生と囲む、両手に花の食卓ドラマ、開幕です！！,26,20190731,20190731
26,賭ケグルイ,https://img.papy.co.jp/sc/item/cover/9-281811-c400.jpg?renta,河本ほむら,名門・私立百花王学園。この学園には階級制度が存在する。生徒会を頂点とするこの学校は「ギャンブル」に支配されている。勝てば天国。負ければ地獄。ギャンブル強者は羨望、弱者は被虐のクルった学園。そんな学園に、一人の少女が転校してくる。彼女の名前は蛇喰夢子……。,27,20190731,20190731
27,ぐらんぶる,https://img.papy.co.jp/sc/item/cover/9-287386-c400.jpg?renta,井上堅二,海沿いの街で一人暮らしを始めた北原伊織は衝撃の大学デビューを果たす。出会ったのは美女とダイビング、そして愛すべき野郎ども！ バカを描かせたら天下一品の井上堅二と、裸の若者を描く達人・吉岡公威が繰り出す、酒とノリがあふれる最高のキャンパスライフ！！,28,20190731,20190731
28,ゴールデンカムイ,https://img.papy.co.jp/sc/item/cover/9-580317-c400.jpg?renta,野田サトル,『不死身の杉元』日露戦争での鬼神の如き武功から、そう謳われた兵士は、ある目的の為に大金を欲し、かつてゴールドラッシュに沸いた北海道へ足を踏み入れる。そこにはアイヌが隠した莫大な埋蔵金への手掛かりが!?　立ち塞がる圧倒的な大自然と凶悪な死刑囚。そして、アイヌの少女、エゾ狼との出逢い。『黄金を巡る生存競争』開幕ッ!!!!,29,20190731,20190731
29,嘘喰い,https://img.papy.co.jp/sc/item/cover/9-570959-c400.jpg?renta,迫稔雄,遊ぶ金欲しさに闇金に手を出し、取立てに追われる青年・梶くんの前に現れた謎の男・斑目貘。自らギャンブラーと名乗り、借金返済を手伝うと豪語する貘は、闇カジノへと乗り込むが…!?,30,20190731,20190731
30,湾岸MIDNIGHT,https://img.papy.co.jp/sc/item/cover/9-292671-c400.jpg?renta,楠みちはる,解体所でスクラップ寸前の「フェアレディS30Z」――。アキオが出会ったバキバキチューンのこの魔物は、かつて3人ものオーナーを飲み込んできたという伝説を持つ、その名も”悪魔のZ”だった――。”Z”の魔性に導かれていくアキオは、超速のポルシェ「ブラックバード」を駆る”湾岸の帝王”と対決することに。そして……新たなる伝説（レジェンド）へ……。熱き想いが、路面を焦がして疾走する。鉄の四輪に魅入（みい）られた、男たちの闘い。それは……、湾岸ストーリー！,31,20190731,20190731
